,Стиль,Популярность,Популярность_Norm,Кол-во отзывов,Кол-во отзывов_Norm
19,С видом на лагуну,2,0.0,2731.0,0.9990514513971943
3,В стиле ар-деко,3,0.014492753623188406,1818.3333333333333,0.6280334407569534
18,С видом на горы,3,0.014492753623188406,644.6666666666666,0.15091349354574535
20,С видом на озеро,4,0.028985507246376812,1192.75,0.37372078499761385
29,Скрытая жемчужина,6,0.057971014492753624,1510.1666666666667,0.5027572717149876
23,С видом на пристань,6,0.057971014492753624,1688.5,0.5752534863579858
16,С видом на бухту,7,0.07246376811594203,1183.0,0.3697572069073191
27,С хорошим соотношением цены и качества,7,0.07246376811594203,2411.1428571428573,0.869022860273825
25,С зелеными насаждениями,7,0.07246376811594203,1236.7142857142858,0.39159318290659867
22,С видом на парк,9,0.10144927536231885,2733.3333333333335,1.0
24,С видом на реку,10,0.11594202898550725,872.1,0.2433698809306381
12,Причудливые отели,19,0.2463768115942029,369.42105263157896,0.03902041813659659
17,С видом на гавань,23,0.30434782608695654,1710.5652173913043,0.5842234568410384
9,Необычный,38,0.5217391304347826,414.6578947368421,0.05741013672557549
21,С видом на океан,41,0.5652173913043478,566.1951219512196,0.1190131760743883
15,Роскошный,42,0.5797101449275363,576.2619047619048,0.12310553297574091
14,Романтический,43,0.5942028985507246,514.1627906976744,0.09786094959813078
6,Исторический отель,43,0.5942028985507246,664.6046511627907,0.15901869954712727
10,Очаровательный,45,0.6231884057971014,566.5111111111111,0.11914163224986693
1,Бутик-отель,46,0.6376811594202898,273.4347826086956,0.0
13,Расположение в центре,49,0.6811594202898551,734.5918367346939,0.18746994829935176
26,С красивым видом,49,0.6811594202898551,578.734693877551,0.12411077325888906
5,Жилой район,51,0.7101449275362319,742.3725490196078,0.19063296991364637
4,Вид на город,53,0.7391304347826086,1027.7924528301887,0.3066621060446879
28,Семейный,54,0.7536231884057971,702.1851851851852,0.17429596942125444
0,Бизнес-класс,57,0.7971014492753623,830.8771929824561,0.22661195121626007
31,Тихий,60,0.8405797101449275,756.4833333333333,0.19636929766162148
2,Бюджетный,62,0.8695652173913043,300.741935483871,0.01110092644557687
7,Классический,66,0.927536231884058,632.939393939394,0.1461461129056706
30,Современно,68,0.9565217391304348,682.9558823529412,0.1664788572779185
11,По умеренной цене,71,1.0,725.4929577464789,0.18377106446305103
8,Модный,71,1.0,435.77464788732397,0.06599453673843833
